user_id,is_child,name,restricted_tags,liked_cat
U80234,True,Tanya Henry,Violence,video
U60458,True,Mrs. Marissa Meyers,Violence,video
U44190,True,Samantha Hawkins,SSH,foodanddrink
U9444,False,Walter Payne,Sexual,news
U69606,True,Elizabeth Beard,SSH,autos
U70421,True,Susan Graham,,tv
U9568,True,Alyssa Perry,SSH,video
U77860,True,Pamela Gonzales,Violence,lifestyle
U27387,False,Teresa Delacruz,Sexual,northamerica
U15905,False,Alec Nelson,SSH,entertainment
U1987,True,Derek Gross,Sexual,middleeast
U36076,True,Jared Choi,,kids
U12288,True,Henry Ray,Violence,kids
U9906,True,Mrs. Sydney Williams MD,SSH,movies
U40099,True,Sarah Miller,SSH,tv
U32477,True,Michelle King,Sexual,northamerica
U20074,True,Kimberly Kennedy,Violence,foodanddrink
U64980,False,Michael Burns,SSH,sports
U78728,False,Alicia Jones,,travel
U24766,True,Randy Anderson,SSH,lifestyle
U38395,False,Monique Powell,SSH,travel
U37726,True,Scott Morris,Violence,music
U90837,False,Joseph Hartman,Sexual,middleeast
U91644,True,Laura Turner,ED,movies
U90247,False,Brandon Robertson,ED,news
U10606,True,Mark Mcdonald,Violence,video
U63542,True,Samantha Butler,Violence,entertainment
U63146,True,Amanda Mccann,SSH,sports
U91361,True,Amanda Marquez,Violence,music
U80349,True,Blake Dean,Violence,middleeast
U61801,True,Tina Rivera,SSH,northamerica
U47747,True,Michael Johnson,Violence,video
U13878,False,Joshua Adams,Sexual,northamerica
U55787,True,Angela Campos,ED,northamerica
U75160,True,Michael Erickson,,sports
U5891,False,Angelica Sanders,SSH,lifestyle
U23420,False,Beth Wilson,SSH,entertainment
U14796,False,Laura Collins,Violence,sports
U88324,True,Carol Ingram,Violence,sports
U74467,False,Melanie Jensen,Violence,entertainment
U81041,False,Crystal Howard,Violence,entertainment
U79917,True,Christopher Holmes,SSH,entertainment
U22589,False,Nathan Ross,,news
U91457,True,Robert Diaz,,tv
U3506,False,Michael Russo,,music
U11982,True,Robert Mcpherson,SSH,movies
U63001,False,Scott Williams,ED,foodanddrink
U71874,False,Gregory Kelly,Sexual,lifestyle
U40625,False,Walter Robinson,Sexual,sports
U43881,False,Melissa Moore,Sexual,northamerica
U12176,False,Scott Blankenship,Violence,northamerica
U35863,False,Kristin Barrett,Sexual,autos
U405,False,Roger Herrera,SSH,lifestyle
U75103,False,Kyle Davis,Violence,northamerica
U89129,False,Michelle Adams,Violence,health
U24511,True,Michael Doyle,,autos
U29845,False,Matthew Ramsey,ED,entertainment
U62193,True,Alisha Lewis,,foodanddrink
U55853,True,Frank Henderson,Sexual,autos
U21578,True,Thomas Lang,Violence,lifestyle
U7067,True,Rachel Reyes,Violence,tv
U61214,False,Alexander Walls,SSH,autos
U80346,False,Patricia Le,SSH,health
U34484,True,Jasmine Davis,ED,tv
U41252,True,Karl Ellis,SSH,health
U31738,True,Kimberly Phillips,Violence,movies
U53084,True,Pamela Williams,Violence,travel
U68453,False,Allen Randall,,finance
U82949,True,Jenna Matthews,,lifestyle
U5692,False,Debbie Mora,Sexual,travel
U27835,False,Steven Bass,Sexual,finance
U16458,False,Jessica Lane,,sports
U66651,True,Mark Roberts,ED,autos
U28848,True,Gregory Martinez,Sexual,music
U52203,True,Michael Hoffman,Violence,tv
U29095,True,Claudia Carter,Sexual,movies
U34611,True,Michael Green,Violence,weather
U62036,True,Tyler Silva,,news
U39619,False,Cindy Ward,Sexual,autos
U82827,False,Kenneth Bolton,ED,autos
U24539,False,Kristen Campos,Violence,video
U91136,True,Jeffrey Washington,SSH,middleeast
U50425,True,Tracy Morrow,ED,middleeast
U83529,True,Tara Williams,Violence,tv
U69129,True,Michael Myers,ED,travel
U56421,True,Amy Mckay,,finance
U41186,True,Tammy Case,Violence,travel
U10514,True,Heather Stevens,,tv
U49962,False,Alicia Zimmerman,SSH,middleeast
U54154,True,Melinda Wood,,foodanddrink
U49252,True,Sandra Stokes,Sexual,kids
U37219,True,Ashley Lewis,ED,sports
U64227,False,Jeffery Donaldson,ED,entertainment
U1075,True,Alexander Benson,ED,autos
U63147,True,Glenda Williams MD,ED,music
U35870,True,Jill Miller,,entertainment
U10516,False,Claudia Peters,ED,kids
U92451,False,Kimberly Lee,Violence,sports
U87452,False,Travis Weeks,ED,weather
U41799,True,Kathy Robinson,Sexual,northamerica
U91456,True,Kaitlyn Walker,SSH,travel
U35003,True,Brad Garner,Sexual,news
U47469,True,Richard Alvarado,SSH,health
U9104,False,Crystal Byrd,Sexual,northamerica
U35282,False,Meghan Turner,ED,video
U79233,True,Gregory Hammond,ED,northamerica
U74282,False,Adam Brown,ED,foodanddrink
U89791,False,Rebecca Wright,Sexual,middleeast
U20255,False,Anna Smith,ED,middleeast
U44349,False,Kayla Smith,ED,lifestyle
U93760,False,Tabitha Taylor,,travel
U27314,False,Angela Luna,Violence,kids
U60042,True,Jennifer Jordan,,movies
U44369,False,Michael Molina,,kids
U93977,False,Julie Woodward,Sexual,finance
U52294,True,Erika Marshall,,tv
U1175,False,Jennifer Sanders,,music
U35388,False,Luis King,,autos
U20528,True,Samuel Hamilton,Violence,northamerica
U27493,False,David Lopez,,kids
U17868,False,Brandy Hall,,kids
U27544,True,Heather Nichols,SSH,video
U15793,True,Donna Spears,,kids
U64383,True,Melvin Maldonado,Violence,health
U59106,True,Kevin May,,autos
U75875,False,Marc Bailey,,music
U65272,True,Alan Greene,Violence,finance
U34231,False,Brian Cuevas,ED,music
U36033,False,Christopher Hayes,SSH,video
U28021,False,Dennis Reed,Violence,northamerica
U68614,False,Eric Pope,Violence,foodanddrink
U36214,False,James Brown,Sexual,kids
U41141,True,Christopher Cunningham,Sexual,entertainment
U54493,True,Nicole Young,Sexual,movies
U63061,True,Bryan Huber,SSH,sports
U45907,False,Kenneth Mcintosh,SSH,foodanddrink
U4734,False,Debbie Lee,,kids
U5849,False,Rebecca Burke,Sexual,entertainment
U43607,False,Kathy Hunter,,foodanddrink
U13697,False,Sarah Jennings,SSH,weather
U36577,True,Matthew Benton,Sexual,video
U56060,True,Nathaniel Ramirez,SSH,kids
U7616,True,Russell Beasley,ED,video
U53243,False,Allison Phillips,ED,health
U93672,True,Stacey Hansen,Sexual,autos
U517,True,Joshua Martin,SSH,lifestyle
U93352,True,Danielle Ferguson,SSH,music
U50171,False,Amanda Harvey,SSH,music
U41036,True,Jennifer Bauer,SSH,movies
U72019,False,Joseph Harper,,weather
U25893,True,Ryan Harper,SSH,news
U27209,True,Rachel Bates,SSH,health
U75986,False,Kyle Miller,,movies
U13415,True,Kayla Nguyen,SSH,tv
U72221,False,Sean Hill,ED,kids
U30080,True,Melissa Jones,Sexual,foodanddrink
U48680,True,Eric Smith,Violence,lifestyle
U62240,False,Jonathan Mann,ED,travel
U66013,False,Cameron Graham,SSH,weather
U39565,True,Margaret Huber,Sexual,travel
U91724,True,Tina Johnson,,health
U28113,False,Joanna Martinez,,finance
U83148,False,Alejandro Horn,SSH,autos
U36875,False,Sabrina Stanley,Sexual,music
U53120,True,Angel Olson,Sexual,sports
U93347,True,Jon Osborn,Violence,autos
U81888,True,Carl Camacho,SSH,movies
U88391,True,Kristy Suarez,Violence,news
U80015,True,Wayne Baird,,entertainment
U93142,True,Madeline Wilson,ED,health
U12052,True,Jamie Evans,ED,health
U30451,True,Thomas Guzman,ED,music
U20722,False,Kristine Ryan,Violence,weather
U71652,True,Rebecca Walker,SSH,music
U4285,True,William French,,video
U22628,True,Jeremiah Sutton,SSH,health
U92743,False,Emma Davis,Sexual,tv
U6222,False,Steve Strong,ED,sports
U90389,True,David Johnson,,weather
U56070,False,Carlos Gomez,,health
U2666,True,Morgan Orr,,finance
U75380,False,Angela Lawson,ED,health
U32494,True,Robert Avila,Sexual,northamerica
U68749,True,Matthew Thornton,SSH,movies
U32642,False,Michelle Logan,SSH,entertainment
U84105,False,Taylor Phillips,ED,tv
U81550,False,Derek Vasquez,,foodanddrink
U76423,True,Brian Bates,SSH,autos
U32180,True,Aaron Williams,ED,travel
U23813,False,Seth Jackson,Violence,health
U40962,False,Jared Garcia,ED,lifestyle
U68502,False,Mason Stevens,Violence,tv
U90617,False,John Bailey,ED,foodanddrink
U18482,False,Michelle Stone,ED,lifestyle
U76911,False,Mark Lee,SSH,northamerica
U27538,True,Jessica Garrett,ED,lifestyle
U54455,False,Chad Henry,Sexual,travel
U71283,True,Bonnie West MD,Sexual,music
U61197,True,Heather Fields,SSH,entertainment
U43725,True,Timothy Reynolds,,entertainment
U91530,True,Kayla Anderson,SSH,music
U63557,False,Michael Mcdowell,,sports
U60561,False,Annette Johnson,SSH,movies
U16311,False,Scott Allen,ED,kids
U28737,True,John Good,Violence,health
U70683,False,Jennifer Mckenzie,SSH,finance
U33084,False,Timothy Haley,Violence,foodanddrink
U16786,False,Zoe Fuller,,lifestyle
U2744,False,Edward Adams,ED,movies
U54407,True,Elizabeth Bowers,Violence,entertainment
U47559,True,Tyler Page,ED,northamerica
U41311,False,Jocelyn Ramirez,SSH,finance
U68008,True,Jacob Lewis,Violence,lifestyle
U36923,True,Kevin Austin,Sexual,finance
U46414,True,Larry Marshall,SSH,entertainment
U37000,True,Alejandro Howard,Sexual,entertainment
U35894,False,John Jimenez,SSH,northamerica
U26902,False,Jacob Kim,ED,kids
U79809,False,John Ruiz,Violence,travel
U1769,True,Emily Wilson,Sexual,travel
U65460,True,Monica Pearson,SSH,movies
U66052,False,Ashley Massey,,foodanddrink
U37682,False,Stephanie Schneider,Violence,weather
U89860,False,Richard Morris,Violence,music
U33864,False,Ashley Morris,Violence,music
U27202,False,Jeffery Mayer,ED,autos
U68701,False,Victor Casey,SSH,music
U22035,False,Courtney Cook,ED,entertainment
U32192,False,Lisa Pena,Sexual,health
U15803,False,Brooke Davenport,Sexual,lifestyle
U61851,False,Michael Hicks,Sexual,kids
U91064,True,Linda Sanchez,,lifestyle
U75378,True,Erik Williams,ED,music
U68385,False,Diana Higgins,Violence,health
U31769,True,David Lozano,SSH,video
U65558,False,Edward Downs,Sexual,travel
U91698,True,Natalie Jones,Sexual,tv
U47221,False,David Stokes,SSH,music
U4850,True,Molly Stanley,ED,tv
U84706,False,Sherry Ramirez,Sexual,kids
U24909,True,Alexander Murillo,ED,middleeast
U76174,True,Michelle Johnson,SSH,middleeast
U87757,False,James Serrano,,finance
U31808,False,Crystal Kline,Violence,foodanddrink
U58398,True,Michelle Smith,Violence,lifestyle
U8834,False,Rhonda Bryant,,travel
U20413,False,Nicholas Mann,ED,finance
U89122,False,Christopher Herring,Sexual,movies
U51844,True,Jesus Crawford,SSH,lifestyle
U20638,False,Christian Floyd,Violence,entertainment
U74110,False,Amanda Hughes,ED,northamerica
U62601,True,Kimberly Johnson,Violence,sports
U29113,False,Dwayne Lang,,tv
U17394,True,Kimberly Ewing,Violence,music
U49909,True,Amanda Cooper,Sexual,health
U9167,True,Timothy Gonzalez,SSH,video
U40253,True,Miranda Anderson,Sexual,entertainment
U46899,False,Derek Smith,SSH,health
U17704,False,James Clarke,SSH,music
U78010,True,Carly Snyder,Violence,kids
U87412,True,Bradley King,Sexual,finance
U90685,True,Randy Mccormick,ED,lifestyle
U25601,False,Joshua Payne,,middleeast
U69314,True,David Walters,Sexual,news
U12936,True,Trevor Patel,,video
U73458,False,Roy Thomas,Sexual,video
U47526,False,Erica Simmons,SSH,northamerica
U57023,True,Leah Flores,ED,tv
U67187,False,Brett Patton,ED,travel
U80554,True,Jason Brown,Violence,autos
U7672,True,Claire Fisher,ED,autos
U67152,False,Mrs. Lisa Munoz,Violence,lifestyle
U83286,True,Deborah Berger,,travel
U36840,False,Whitney Tyler,Violence,news
U34146,False,Jennifer Wolf,Violence,weather
U7338,False,Ryan Sexton,Sexual,video
U11946,True,Rickey Garcia,SSH,lifestyle
U62882,False,Edward Keller,,kids
U14249,True,Maria Butler,SSH,autos
U92036,False,Robert Sanchez,SSH,music
U37571,False,Tara Hooper,,health
U5871,True,Patricia Bailey,ED,finance
U60948,True,Stephanie Phillips,Violence,northamerica
U12601,False,Michelle Ross,ED,sports
U63265,True,Kelsey Huynh,ED,music
U35036,False,Megan Rollins,Sexual,autos
U62695,True,Diana Walker,,health
U82123,False,Jasmin Small,Sexual,autos
U25256,False,Jose Murphy,Sexual,travel
U40017,True,Tiffany Jones,,video
U3495,True,Charles Wood,SSH,health
U91601,True,Allison Willis,ED,northamerica
U6052,True,Stephanie Berry,Violence,movies
U74108,True,Kimberly Scott,,foodanddrink
U89550,False,Brian Murillo,Violence,kids
U76086,True,Ivan Quinn,Violence,news
U35742,False,Jermaine Hernandez,Violence,video
U49509,True,Brenda Roberts,,movies
U15949,True,Travis Combs,SSH,kids
U65331,True,Katrina Taylor,,music
U28083,True,Alexander Randall,Sexual,lifestyle
U66729,True,William King,,entertainment
U74416,False,Donald Briggs,,news
U40233,False,Travis Heath,SSH,movies
U22483,True,Kimberly Williams,Sexual,video
U55402,False,Scott Jones,SSH,tv
U61309,False,Kevin Adams,Violence,tv
U91809,True,Christopher Woods,,weather
U70374,True,Patricia Davidson,SSH,kids
U72794,False,William Richmond,Sexual,kids
U31989,True,Carrie Casey,SSH,entertainment
U58902,True,Dawn Robinson,SSH,foodanddrink
U15316,True,Adam Wade,ED,entertainment
U37930,True,Christopher Rasmussen,ED,sports
U83324,True,Mary Campbell,ED,northamerica
U42872,True,Derek Lawrence,ED,weather
U91566,True,Connie Michael,ED,video
U4937,True,Martin Avila,,entertainment
U87120,False,Mr. James Price PhD,ED,news
U72422,False,Karen White,SSH,tv
U37550,False,James Williams,Violence,news
U34895,False,Jonathan Gonzales,Sexual,travel
U26152,True,Bryan Evans,,northamerica
U13775,True,Victoria Boyd,Sexual,foodanddrink
